UF,Nome_UF,Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,Município,Código Município Completo,Nome_Município,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00015,1100015,Alta Floresta D'Oeste,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00379,1100379,Alto Alegre dos Parecis,
11,Rondônia,1101,Porto Velho,110002,Ariquemes,00403,1100403,Alto Paraíso,
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,00346,1100346,Alvorada D'Oeste,
11,Rondônia,1101,Porto Velho,110002,Ariquemes,00023,1100023,Ariquemes,
11,Rondônia,1101,Porto Velho,110002,Ariquemes,00452,1100452,Buritis,
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,00031,1100031,Cabixi,
11,Rondônia,1101,Porto Velho,110002,Ariquemes,00601,1100601,Cacaulândia,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00049,1100049,Cacoal,
11,Rondônia,1101,Porto Velho,110002,Ariquemes,00700,1100700,Campo Novo de Rondônia,
11,Rondônia,1101,Porto Velho,110001,Porto Velho,00809,1100809,Candeias do Jamari,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00908,1100908,Castanheiras,
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,00056,1100056,Cerejeiras,
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,00924,1100924,Chupinguaia,
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,00064,1100064,Colorado do Oeste,
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,00072,1100072,Corumbiara,
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,00080,1100080,Costa Marques,
11,Rondônia,1101,Porto Velho,110002,Ariquemes,00940,1100940,Cujubim,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00098,1100098,Espigão D'Oeste,
11,Rondônia,1101,Porto Velho,110003,Jaru,01005,1101005,Governador Jorge Teixeira,
11,Rondônia,1101,Porto Velho,110001,Porto Velho,00106,1100106,Guajará-Mirim,
11,Rondônia,1101,Porto Velho,110001,Porto Velho,01104,1101104,Itapuã do Oeste,
11,Rondônia,1101,Porto Velho,110003,Jaru,00114,1100114,Jaru,
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,00122,1100122,Ji-Paraná,
